name,state_id,code_id
Autauga,01,001
Baldwin,01,003
Barbour,01,005
Bibb,01,007
Blount,01,009
Bullock,01,011
Butler,01,013
Calhoun,01,015
Chambers,01,017
Cherokee,01,019
Chilton,01,021
Choctaw,01,023
Clarke,01,025
Clay,01,027
Cleburne,01,029
Coffee,01,031
Colbert,01,033
Conecuh,01,035
Coosa,01,037
Covington,01,039
Crenshaw,01,041
Cullman,01,043
Dale,01,045
Dallas,01,047
De Kalb,01,049
Elmore,01,051
Escambia,01,053
Etowah,01,055
Fayette,01,057
Franklin,01,059
Geneva,01,061
Greene,01,063
Hale,01,065
Henry,01,067
Houston,01,069
Jackson,01,071
Jefferson,01,073
Lamar,01,075
Lauderdale,01,077
Lawrence,01,079
Lee,01,081
Limestone,01,083
Lowndes,01,085
Macon,01,087
Madison,01,089
Marengo,01,091
Marion,01,093
Marshall,01,095
Mobile,01,097
Monroe,01,099
Montgomery,01,101
Morgan,01,103
Perry,01,105
Pickens,01,107
Pike,01,109
Randolph,01,111
Russell,01,113
St Clair,01,115
Shelby,01,117
Sumter,01,119
Talladega,01,121
Tallapoosa,01,123
Tuscaloosa,01,125
Walker,01,127
Washington,01,129
Wilcox,01,131
Winston,01,133
Aleutians East,02,013
Aleutians West,02,016
Anchorage,02,020
Bethel,02,050
Bristol Bay,02,060
Denali,02,068
Dillingham,02,070
Fairbanks North Star,02,090
Haines,02,100
Juneau,02,110
Kenai Peninsula,02,122
Ketchikan Gateway,02,130
Kodiak Island,02,150
Lake and Peninsula,02,164
Matanuska Susitna,02,170
Nome,02,180
North Slope,02,185
Northwest Arctic,02,188
Prince Wales Ketchikan,02,201
Sitka,02,220
Skagway Hoonah Angoon,02,232
Southeast Fairbanks,02,240
Valdez Cordova,02,261
Wade Hampton,02,270
Wrangell Petersburg,02,280
Yakutat,02,282
Yukon Koyukuk,02,290
Apache,04,001
Cochise,04,003
Coconino,04,005
Gila,04,007
Graham,04,009
Greenlee,04,011
La Paz,04,012
Maricopa,04,013
Mohave,04,015
